22418350,05/08/2018,107412778760                            ,454562,467506,00  ,27.00           ,S  ,P  
22302636,05/08/2018,107412668216                            ,017731,043889,00  ,509.00          ,S  ,P  
22418350,05/08/2018,107412778714                            ,454563,005552,00  ,151.00          ,S  ,P  
22302636,05/08/2018,107412666719                            ,017730,016949,00  ,1414.82         ,S  ,P  
22418350,05/08/2018,107412783643                            ,454564,045658,00  ,50.00           ,S  ,P  
22302636,05/08/2018,107412669886                            ,017734,017519,00  ,349.00          ,S  ,P  
22302636,05/08/2018,CCAFH1KVQ245                            ,567143,100713,00  ,311.48          ,S  ,P  
22418350,05/08/2018,107412787357                            ,454565,000000,51  ,1002.00         ,N  ,P  
22418350,05/08/2018,107412584289                            ,454432,560076,00  ,220.00          ,S  ,P  
22302636,05/08/2018,CCAFH2KVQ213                            ,567111,992716,00  ,999.00          ,S  ,P  
22302636,05/08/2018,107412670284                            ,017735,017688,00  ,1179.00         ,S  ,P  
22418350,05/08/2018,107412792292                            ,454567,043335,00  ,20.00           ,S  ,P  
22302636,05/08/2018,107412671684                            ,017737,044246,00  ,3051.08         ,S  ,P  
22418350,05/08/2018,107412795618                            ,454570,056116,00  ,431.00          ,S  ,P  
22302636,05/08/2018,107412673610                            ,017739,441095,00  ,1028.13         ,S  ,P  
22418350,05/08/2018,107412797421                            ,454571,070048,00  ,396.00          ,S  ,P  
22418350,05/08/2018,107412798331                            ,454572,070545,00  ,34.00           ,S  ,P  
22302636,05/08/2018,107412674676                            ,017741,018841,00  ,150.00          ,S  ,P  
22418350,05/08/2018,107412799423                            ,454573,T44581,00  ,101.00          ,S  ,P  
22302636,05/08/2018,107412674461                            ,017740,018888,00  ,3168.00         ,S  ,P  
22418350,05/08/2018,107412800379                            ,454575,012340,00  ,600.00          ,S  ,P  
22302636,05/08/2018,107412674788                            ,017742,441244,00  ,523.17          ,S  ,P  
22418350,05/08/2018,107412803032                            ,454576,078896,00  ,199.00          ,S  ,P  
22302636,05/08/2018,107412676335                            ,017744,019360,00  ,110.00          ,S  ,P  
22418350,05/08/2018,107412803964                            ,454577,087621,00  ,49.00           ,S  ,P  
