14527429|000000000005|26|INR|20180804175548|S|Y|107412343764
14527422|000000000005|448|INR|20180804175518|S|Y|107412345798
14527402|000000000005|1396.49|INR|20180804175402|S|Y|107412343012
14527395|000000000005|500|INR|20180804175329|S|Y|107412344418
14527260|000000000005|2281|INR|20180804174335|S|Y|107412337285
14527174|000000000005|21.67|INR|20180804173619|S|Y|107412330592
14527148|000000000005|26|INR|20180804173443|S|Y|107412330059
14527061|000000000005|26|INR|20180804172724|S|Y|107412322888
14526997|000000000005|500|INR|20180804172359|S|Y|107412323310
14526980|000000000005|200|INR|20180804172234|S|Y|107412322911
14526937|000000000005|4830.34|INR|20180804171948|S|Y|CCAFH1BBT873
14526890|000000000005|26|INR|20180804171633|S|Y|107412316892
14526789|000000000005|26|INR|20180804170937|S|Y|107412312513
14526713|000000000005|10|INR|20180804170500|S|Y|107412309089
14526644|000000000005|111|INR|20180804170118|S|Y|107412307290
14526602|000000000005|1111|INR|20180804165838|S|Y|107412306212
14526600|000000000005|1111|INR|20180804165834|S|Y|107412304388
14526579|000000000005|3|INR|20180804165730|S|Y|107412305795
14526549|000000000005|12|INR|20180804165540|S|Y|107412304774
14526530|000000000005|209|INR|20180804165429|S|Y|107412303777
14526336|000000000005|3333|INR|20180804164342|S|Y|107412296186
14526330|000000000005|30|INR|20180804164307|S|Y|107412296865
14526326|000000000005|1.32|INR|20180804164302|S|Y|107412294420
14526283|000000000005|23650|INR|20180804164045|S|Y|107412295635
14526277|000000000005|479|INR|20180804164009|S|Y|CCAFH2BBT872
14526253|000000000005|2|INR|20180804163833|S|Y|107412293376
14526217|000000000005|373|INR|20180804163648|S|Y|107412291967
14526210|000000000005|399|INR|20180804163627|S|Y|107412292749
14526180|000000000005|1111|INR|20180804163502|S|Y|107412290557
14526175|000000000005|1111|INR|20180804163438|S|Y|107412290742
14526066|000000000005|200|INR|20180804162826|S|Y|107412287385
14526043|000000000005|200|INR|20180804162647|S|Y|107412285963
14525967|000000000005|5886|INR|20180804162312|S|Y|107412283637
14525906|000000000005|111|INR|20180804161955|S|Y|107412280171
14525885|000000000005|26|INR|20180804161913|S|Y|107412281419
14525863|000000000005|3000|INR|20180804161805|S|Y|107412280037
14525836|000000000005|200|INR|20180804161617|S|Y|107412279232
14525825|000000000005|2907|INR|20180804161540|S|Y|107412277800
14525804|000000000005|2000|INR|20180804161446|S|Y|107412277881
14525800|000000000005|111|INR|20180804161434|S|Y|107412277430
14525654|000000000005|250|INR|20180804160641|S|Y|107412272261
14525427|000000000005|21|INR|20180804155436|S|Y|107412264750
14525363|000000000005|26|INR|20180804155113|S|Y|107412261224
14525327|000000000005|111|INR|20180804154914|S|Y|107412261149
14525184|000000000005|111|INR|20180804154244|S|Y|107412256570
14525123|000000000005|500|INR|20180804154000|S|Y|107412253736
14525018|000000000005|16|INR|20180804153449|S|Y|107412250307
14524895|000000000005|399|INR|20180804152843|S|Y|107412243331
14524878|000000000005|111|INR|20180804152802|S|Y|107412240561
14524871|000000000005|631.3|INR|20180804152749|S|Y|107412244167
14524752|000000000005|3333|INR|20180804152124|S|Y|107412237972
14524717|000000000005|48|INR|20180804151924|S|Y|107412236598
14524663|000000000005|254|INR|20180804151652|S|Y|CCAFH2BBT869
14524591|000000000005|111|INR|20180804151344|S|Y|107412230690
14524473|000000000005|24.33|INR|20180804150803|S|Y|107412224141
14524365|000000000005|1111|INR|20180804150259|S|Y|107412217804
14524309|000000000005|137|INR|20180804150015|S|Y|107412219233
14524217|000000000005|30|INR|20180804145611|S|Y|107412214742
14524094|000000000005|2421|INR|20180804144855|S|Y|107412211095
14524058|000000000005|3333|INR|20180804144744|S|Y|107412209361
14523962|000000000005|890|INR|20180804144302|S|Y|107412205635
14523961|000000000005|1500|INR|20180804144300|S|Y|107412205647
14523944|000000000005|111|INR|20180804144221|S|Y|107412204474
14523927|000000000005|50|INR|20180804144155|S|Y|107412205182
14523908|000000000005|111|INR|20180804144113|S|Y|107412203108
14523859|000000000005|2867|INR|20180804143901|S|Y|107412204077
14523746|000000000005|1399|INR|20180804143412|S|Y|CCAFH2BBT868
14523736|000000000005|500|INR|20180804143330|S|Y|107412199417
14523548|000000000005|7709|INR|20180804142314|S|Y|107412193293
14523437|000000000005|1|INR|20180804141558|S|Y|107412189451
14523292|000000000005|1000|INR|20180804140730|S|Y|107412179411
14523259|000000000005|100|INR|20180804140609|S|Y|107412182009
14523242|000000000005|20|INR|20180804140521|S|Y|107412182059
14523106|000000000005|5177|INR|20180804135723|S|Y|107412177274
14523046|000000000005|500|INR|20180804135350|S|Y|107412174875
14523031|000000000005|200|INR|20180804135312|S|Y|107412173772
14522913|000000000005|16|INR|20180804134710|S|Y|107412168940
14522762|000000000005|2500|INR|20180804133804|S|Y|CCAFH2BBT867
14522759|000000000005|400|INR|20180804133757|S|Y|107412163990
14522628|000000000005|400|INR|20180804133031|S|Y|107412156815
14522558|000000000005|20|INR|20180804132542|S|Y|107412154450
14522298|000000000005|22|INR|20180804131205|S|Y|107412144719
14522210|000000000005|1|INR|20180804130716|S|Y|107412142583
14522208|000000000005|376|INR|20180804130708|S|Y|107412141572
14522016|000000000005|100|INR|20180804125802|S|Y|107412135986
14522003|000000000005|13496|INR|20180804125714|S|Y|107412134625
14521978|000000000005|10|INR|20180804125553|S|Y|107412131840
14521823|000000000005|20|INR|20180804124805|S|Y|107412128582
14521820|000000000005|14784|INR|20180804124757|S|Y|107412129459
14521776|000000000005|21|INR|20180804124544|S|Y|107412127649
14521762|000000000005|2440|INR|20180804124510|S|Y|107412128727
14521731|000000000005|500|INR|20180804124254|S|Y|107412125481
14521727|000000000005|7714|INR|20180804124244|S|Y|CCAFH1BBT866
14521635|000000000005|5251.04|INR|20180804123821|S|Y|107412121142
14521627|000000000005|272.61|INR|20180804123810|S|Y|CCAFH1BBT865
14521620|000000000005|675|INR|20180804123753|S|Y|107412122287
14521580|000000000005|330.45|INR|20180804123542|S|Y|107412122598
14521557|000000000005|7392|INR|20180804123441|S|Y|107412118920
14521451|000000000005|2425.23|INR|20180804122844|S|Y|107412118687
14521398|000000000005|70.84|INR|20180804122539|S|Y|107412114234
14521316|000000000005|1504|INR|20180804122135|S|Y|107412112022
14521223|000000000005|500|INR|20180804121718|S|Y|107412110205
14520738|000000000005|796.32|INR|20180804115502|S|Y|CCAFH1BBT863
14520556|000000000005|7499|INR|20180804114743|S|Y|107412092713
14520191|000000000005|399|INR|20180804113141|S|Y|CCAFH1BBT862
14520064|000000000005|17508|INR|20180804112516|S|Y|107412075329
14519689|000000000005|15000|INR|20180804110855|S|Y|107412067792
14519670|000000000005|1233|INR|20180804110741|S|Y|107412064788
14519649|000000000005|14160|INR|20180804110617|S|Y|107412065408
14519475|000000000005|150|INR|20180804105719|S|Y|107412060441
14519428|000000000005|100|INR|20180804105421|S|Y|107412058533
14519389|000000000005|149|INR|20180804105248|S|Y|107412057858
14519362|000000000005|192.07|INR|20180804105134|S|Y|107412056508
14519348|000000000005|100|INR|20180804105045|S|Y|107412054997
14519310|000000000005|234.82|INR|20180804104845|S|Y|107412054738
14519299|000000000005|746|INR|20180804104819|S|Y|107412053644
14519174|000000000005|100|INR|20180804104121|S|Y|107412050761
14519125|000000000005|500|INR|20180804103734|S|Y|107412048352
14519037|000000000005|486.97|INR|20180804103251|S|Y|107412045581
14519012|000000000005|100|INR|20180804103125|S|Y|107412044417
14518987|000000000005|450|INR|20180804102908|S|Y|107412043082
14518923|000000000005|399|INR|20180804102503|S|Y|107412040916
14518920|000000000005|1000|INR|20180804102455|S|Y|107412037489
14518836|000000000005|5815|INR|20180804101847|S|Y|107412036978
14518799|000000000005|249|INR|20180804101639|S|Y|107412034147
14518759|000000000005|1415.28|INR|20180804101343|S|Y|CCAFH2BBT857
14518713|000000000005|2441|INR|20180804101022|S|Y|107412032676
14518712|000000000005|825|INR|20180804101016|S|Y|107412032150
14518628|000000000005|250|INR|20180804100400|S|Y|107412028265
14518623|000000000005|825|INR|20180804100326|S|Y|107412028689
