107412855617,785.60,101058106,05/08/2018
107412856395,600.00,101058570,05/08/2018
107412869154,50.00,101080376,05/08/2018
107412893134,40000.00,101118307,05/08/2018
107412917347,111.00,101166047,05/08/2018
107412917981,35000.00,101167777,05/08/2018
107412921147,97.07,101173999,05/08/2018
107412926917,1105.00,101189001,05/08/2018
107412941260,154.00,101215592,05/08/2018
107412948333,302.00,101230952,05/08/2018
107412948941,225.00,101232664,05/08/2018
107412960515,100.00,101255592,05/08/2018
107412964758,15520.00,101263012,05/08/2018
107412968071,350.00,101269870,05/08/2018
107412969572,50.00,101272576,05/08/2018
CCAFH2BPP346,100.00,101273780,05/08/2018
107412972251,352.88,101277670,05/08/2018
107412972438,50.00,101278265,05/08/2018
107412972523,1290.00,101278418,05/08/2018
107412979924,25.00,101291588,05/08/2018
107412982345,830.00,101295440,05/08/2018
107412992275,1698.00,105272268,05/08/2018
107412998341,148.00,107021607,05/08/2018
107413000670,318.00,107464201,05/08/2018
107413004482,380.76,109654860,05/08/2018
CCAFH2BPP349,106.00,110298143,05/08/2018
107413006315,5000.00,110458665,05/08/2018
107413012086,24365.00,112487750,05/08/2018
CCAFH1BPP353,437.00,112670188,05/08/2018
CCAFH1AAI471,3944.00,112834072,05/08/2018
CCAFH2AAI470,1947.00,112834105,05/08/2018
107413026948,249.00,112835032,05/08/2018
107412580670,723.10,100560155,05/08/2018
107412753054,1.00,100884875,05/08/2018
107413021465,17.41,112828355,05/08/2018
107413022048,26.00,112829068,05/08/2018
107412710856,46.55,100817345,05/08/2018
CCAFH2BPP316,1860.00,100904296,05/08/2018
107412775424,10.21,100925358,05/08/2018
CCAFH2AAI467,2436.00,101026797,05/08/2018
107412869340,500.00,101080356,05/08/2018
107412878272,47.00,101094592,05/08/2018
107412609119,274.10,100603772,05/08/2018
107412628038,100.00,100635146,05/08/2018
107412628670,1290.00,100636552,05/08/2018
107412709640,431.80,100800721,05/08/2018
107412804684,370.80,100976081,05/08/2018
107412807979,58.00,100981629,05/08/2018
107412808185,3.00,100982039,05/08/2018
107412808394,171.89,100982296,05/08/2018
