IGAECGGQJ3^17.33^04/08/18 20:08:06 PM^107412420067^Success^AIPL_AVENIPL
IGAECGGTN3^200.00^04/08/18 20:08:06 PM^107412420004^Success^AIPL_AVENIPL
IGAECGGQJ5^129.00^04/08/18 20:08:06 PM^107412419266^Success^AIPL_AVENIPL
IGAECGGOL3^111.00^04/08/18 20:08:07 PM^107412419938^Success^AIPL_AVENIPL
IGAECGGTN6^2473.80^04/08/18 20:08:07 PM^107412419049^Success^AIPL_AVENIPL
IGAECGGQK0^2142.00^04/08/18 20:08:08 PM^107412419163^Success^AIPL_AVENIPL
IGAECGGOM6^248.00^04/08/18 20:08:09 PM^107412419680^Success^AIPL_JRITECH
IGAECGGQL4^1111.00^04/08/18 20:08:12 PM^107412419964^Success^AIPL_AVENIPL
IGAECGGOO7^1111.00^04/08/18 20:08:14 PM^107412420029^Success^AIPL_AVENIPL
IGAECGGOP3^1.00^04/08/18 20:08:15 PM^107412419942^Success^AIPL_AVENIPL
IGAECGGQM5^1111.00^04/08/18 20:08:15 PM^107412420069^Success^AIPL_AVENIPL
IGAECGGQN4^413.75^04/08/18 20:08:18 PM^107412419931^Success^AIPL_AVENIPL
IGAECGGQN6^10.00^04/08/18 20:08:18 PM^107412420060^Success^AIPL_AVENIPL
IGAECGGQN5^111.00^04/08/18 20:08:18 PM^107412419655^Success^AIPL_AVENIPL
IGAECGGOQ5^799.32^04/08/18 20:08:18 PM^107412419123^Success^AIPL_BHPCL
IGAECGGOS1^798.82^04/08/18 20:08:21 PM^107412419484^Success^AIPL_BHPCL
IGAECGGQP9^1098.00^04/08/18 20:08:23 PM^107412419923^Success^AIPL_AVENIPL
IGAECGGTV4^850.32^04/08/18 20:08:24 PM^107412418858^Success^AIPL_BHPCL
IGAECGGQQ3^101.00^04/08/18 20:08:25 PM^CCAFH1FJF570^Success^AIPL_AVENIPL
IGAECGGOV0^111.00^04/08/18 20:08:27 PM^107412420206^Success^AIPL_AVENIPL
IGAECGGQR8^349.00^04/08/18 20:08:28 PM^107412419560^Success^AIPL_AVENIPL
IGAECGGQR7^60.00^04/08/18 20:08:28 PM^107412418066^Success^AIPL_AVENIPL
IGAECGGTY1^843.72^04/08/18 20:08:29 PM^107412419650^Success^AIPL_ABISEIP
IGAECGGQS3^1238.00^04/08/18 20:08:29 PM^107412419665^Success^AIPL_AVENIPL
IGAECGGTY5^111.00^04/08/18 20:08:30 PM^107412420288^Success^AIPL_AVENIPL
IGAECGGWO8^2420.91^04/08/18 20:08:33 PM^107412419673^Success^AIPL_AVENIPL
IGAECGGWP7^7766.00^04/08/18 20:08:34 PM^CCAFH1AGQ459^Success^AIPL_AIRBERH
IGAECGGWP3^595.00^04/08/18 20:08:34 PM^107412420200^Success^AIPL_IMFPATS
IGAECGGTZ7^111.00^04/08/18 20:08:34 PM^107412420354^Success^AIPL_AVENIPL
IGAECGGWQ2^111.00^04/08/18 20:08:35 PM^107412419242^Success^AIPL_AVENIPL
IGAECGGWQ0^297.65^04/08/18 20:08:35 PM^107412419997^Success^AIPL_AVENIPL
IGAECGGWS3^590.00^04/08/18 20:08:41 PM^107412420070^Success^AIPL_AVENIPL
IGAECGGQY3^300.00^04/08/18 20:08:42 PM^107412419612^Success^AIPL_AVENIPL
IGAECGGUE7^111.00^04/08/18 20:08:44 PM^107412420353^Success^AIPL_AVENIPL
IGAECGGWU5^590.00^04/08/18 20:08:44 PM^107412419834^Success^AIPL_NETWAIP
IGAECGGWU2^1506.19^04/08/18 20:08:44 PM^107412420014^Success^AIPL_COSECES
IGAECGGQY9^209.18^04/08/18 20:08:44 PM^107412419715^Success^AIPL_AVENIPL
IGAECGGUF8^10.00^04/08/18 20:08:46 PM^CCAFH1FJF573^Success^AIPL_AVENIPL
IGAECGGUF9^250.00^04/08/18 20:08:46 PM^CCAFH1ABK887^Success^AIPL_INFITRN
IGAECGGRA0^159.00^04/08/18 20:08:46 PM^107412419799^Success^AIPL_AVENIPL
IGAECGGWV3^111.00^04/08/18 20:08:47 PM^107412420345^Success^AIPL_AVENIPL
IGAECGGUG8^111.00^04/08/18 20:08:48 PM^107412420444^Success^AIPL_AVENIPL
IGAECGGUG7^4500.00^04/08/18 20:08:48 PM^107412420135^Success^AIPL_AVENIPL
IGAECGGUH2^51.00^04/08/18 20:08:49 PM^107412420148^Success^AIPL_AVENIPL
IGAECGGRB1^100.00^04/08/18 20:08:49 PM^107412420311^Success^AIPL_AVENIPL
IGAECGGWX0^200.00^04/08/18 20:08:51 PM^107412420495^Success^AIPL_AVENIPL
IGAECGGRC9^874.00^04/08/18 20:08:53 PM^107412419919^Success^AIPL_AVENIPL
IGAECGGUK6^1506.19^04/08/18 20:08:54 PM^107412420388^Success^AIPL_COSECES
IGAECGGRE8^1111.00^04/08/18 20:08:56 PM^107412420564^Success^AIPL_AVENIPL
IGAECGGUL7^26.00^04/08/18 20:08:56 PM^107412420570^Success^AIPL_AVENIPL
IGAECGGRE3^411.00^04/08/18 20:08:56 PM^CCAFH2CMK853^Success^AIPL_JASINPL
IGAECGGXA5^19.00^04/08/18 20:08:57 PM^107412420483^Success^AIPL_AVENIPL
IGAECGGUM1^299.00^04/08/18 20:08:57 PM^CCAFH1ACH971^Success^AIPL_OLIVBRD
IGAECGGXB2^2067.00^04/08/18 20:08:58 PM^107412420627^Success^AIPL_RGICL
IGAECGGRF1^6.00^04/08/18 20:08:58 PM^107412420190^Success^AIPL_AVENIPL
IGAECGGXB5^111.00^04/08/18 20:08:59 PM^107412420298^Success^AIPL_AVENIPL
IGAECGGXB8^1.00^04/08/18 20:08:59 PM^107412420618^Success^AIPL_AVENIPL
